"","graph.type","degree","p","power","mu","size","graph.no","lambda_0","lambda_1","lambda_2"
"1","small-world",5,0.03,NA,NA,512,1,-1.5,0.75,0.5
"2","small-world",5,0.05,NA,NA,512,2,-1.5,0.75,0.5
"3","small-world",5,0.1,NA,NA,512,3,-1.5,0.75,0.5
"4","barabasi-albert",NA,NA,0.1,NA,500,4,-1.5,0.75,0.5
"5","barabasi-albert",NA,NA,0.3,NA,500,5,-1.5,0.75,0.5
"6","barabasi-albert",NA,NA,0.5,NA,500,6,-1.5,0.75,0.5
"7","sbm",NA,NA,NA,0.1,500,7,-1.5,0.75,0.5
"8","sbm",NA,NA,NA,0.2,500,8,-1.5,0.75,0.5
"9","sbm",NA,NA,NA,0.3,500,9,-1.5,0.75,0.5
"110","barabasi-albert",NA,NA,0.3,NA,500,5,-1.5,0.25,0
"210","sbm",NA,NA,NA,0.2,500,8,-1.5,0.25,0
"31","small-world",5,0.05,NA,NA,512,2,-1.5,0.25,0
"49","barabasi-albert",NA,NA,0.3,NA,500,5,-1.5,0.5,0
"51","sbm",NA,NA,NA,0.2,500,8,-1.5,0.5,0
"61","small-world",5,0.05,NA,NA,512,2,-1.5,0.5,0
"71","barabasi-albert",NA,NA,0.3,NA,500,5,-1.5,0.75,0
"81","sbm",NA,NA,NA,0.2,500,8,-1.5,0.75,0
"91","small-world",5,0.05,NA,NA,512,2,-1.5,0.75,0
"10","barabasi-albert",NA,NA,0.3,NA,500,5,-1.5,1,0
"11","sbm",NA,NA,NA,0.2,500,8,-1.5,1,0
"12","small-world",5,0.05,NA,NA,512,2,-1.5,1,0
"13","barabasi-albert",NA,NA,0.3,NA,500,5,-1.5,0.25,0.1
"14","sbm",NA,NA,NA,0.2,500,8,-1.5,0.25,0.1
"15","small-world",5,0.05,NA,NA,512,2,-1.5,0.25,0.1
"16","barabasi-albert",NA,NA,0.3,NA,500,5,-1.5,0.5,0.1
"17","sbm",NA,NA,NA,0.2,500,8,-1.5,0.5,0.1
"18","small-world",5,0.05,NA,NA,512,2,-1.5,0.5,0.1
"19","barabasi-albert",NA,NA,0.3,NA,500,5,-1.5,0.75,0.1
"20","sbm",NA,NA,NA,0.2,500,8,-1.5,0.75,0.1
"21","small-world",5,0.05,NA,NA,512,2,-1.5,0.75,0.1
"22","barabasi-albert",NA,NA,0.3,NA,500,5,-1.5,1,0.1
"23","sbm",NA,NA,NA,0.2,500,8,-1.5,1,0.1
"24","small-world",5,0.05,NA,NA,512,2,-1.5,1,0.1
"25","barabasi-albert",NA,NA,0.3,NA,500,5,-1.5,0.25,0.5
"26","sbm",NA,NA,NA,0.2,500,8,-1.5,0.25,0.5
"27","small-world",5,0.05,NA,NA,512,2,-1.5,0.25,0.5
"28","barabasi-albert",NA,NA,0.3,NA,500,5,-1.5,0.5,0.5
"29","sbm",NA,NA,NA,0.2,500,8,-1.5,0.5,0.5
"30","small-world",5,0.05,NA,NA,512,2,-1.5,0.5,0.5
"34","barabasi-albert",NA,NA,0.3,NA,500,5,-1.5,1,0.5
"35","sbm",NA,NA,NA,0.2,500,8,-1.5,1,0.5
"36","small-world",5,0.05,NA,NA,512,2,-1.5,1,0.5
"37","barabasi-albert",NA,NA,0.3,NA,500,5,-1.5,0.25,1
"38","sbm",NA,NA,NA,0.2,500,8,-1.5,0.25,1
"39","small-world",5,0.05,NA,NA,512,2,-1.5,0.25,1
"40","barabasi-albert",NA,NA,0.3,NA,500,5,-1.5,0.5,1
"41","sbm",NA,NA,NA,0.2,500,8,-1.5,0.5,1
"42","small-world",5,0.05,NA,NA,512,2,-1.5,0.5,1
"43","barabasi-albert",NA,NA,0.3,NA,500,5,-1.5,0.75,1
"44","sbm",NA,NA,NA,0.2,500,8,-1.5,0.75,1
"45","small-world",5,0.05,NA,NA,512,2,-1.5,0.75,1
"46","barabasi-albert",NA,NA,0.3,NA,500,5,-1.5,1,1
"47","sbm",NA,NA,NA,0.2,500,8,-1.5,1,1
"48","small-world",5,0.05,NA,NA,512,2,-1.5,1,1
