"","graph.type","degree","p","power","mu","fw","bw","size","graph.no","lambda_0","lambda_1","lambda_2"
"1","small-world",5,0.03,NA,NA,NA,NA,500,1,-1.5,0.25,0
"2","small-world",5,0.05,NA,NA,NA,NA,500,2,-1.5,0.25,0
"3","small-world",5,0.1,NA,NA,NA,NA,500,3,-1.5,0.25,0
"4","small-world",5,0.03,NA,NA,NA,NA,1000,4,-1.5,0.25,0
"5","small-world",5,0.05,NA,NA,NA,NA,1000,5,-1.5,0.25,0
"6","small-world",5,0.1,NA,NA,NA,NA,1000,6,-1.5,0.25,0
"7","small-world",5,0.03,NA,NA,NA,NA,5000,7,-1.5,0.25,0
"8","small-world",5,0.05,NA,NA,NA,NA,5000,8,-1.5,0.25,0
"9","small-world",5,0.1,NA,NA,NA,NA,5000,9,-1.5,0.25,0
"10","barabasi-albert",NA,NA,0.1,NA,NA,NA,500,10,-1.5,0.25,0
"11","barabasi-albert",NA,NA,0.3,NA,NA,NA,500,11,-1.5,0.25,0
"12","barabasi-albert",NA,NA,0.5,NA,NA,NA,500,12,-1.5,0.25,0
"13","barabasi-albert",NA,NA,0.1,NA,NA,NA,1000,13,-1.5,0.25,0
"14","barabasi-albert",NA,NA,0.3,NA,NA,NA,1000,14,-1.5,0.25,0
"15","barabasi-albert",NA,NA,0.5,NA,NA,NA,1000,15,-1.5,0.25,0
"16","barabasi-albert",NA,NA,0.1,NA,NA,NA,5000,16,-1.5,0.25,0
"17","barabasi-albert",NA,NA,0.3,NA,NA,NA,5000,17,-1.5,0.25,0
"18","barabasi-albert",NA,NA,0.5,NA,NA,NA,5000,18,-1.5,0.25,0
"19","sbm",NA,NA,NA,0.1,NA,NA,500,19,-1.5,0.25,0
"20","sbm",NA,NA,NA,0.2,NA,NA,500,20,-1.5,0.25,0
"21","sbm",NA,NA,NA,0.3,NA,NA,500,21,-1.5,0.25,0
"22","sbm",NA,NA,NA,0.1,NA,NA,1000,22,-1.5,0.25,0
"23","sbm",NA,NA,NA,0.2,NA,NA,1000,23,-1.5,0.25,0
"24","sbm",NA,NA,NA,0.3,NA,NA,1000,24,-1.5,0.25,0
"25","sbm",NA,NA,NA,0.1,NA,NA,5000,25,-1.5,0.25,0
"26","sbm",NA,NA,NA,0.2,NA,NA,5000,26,-1.5,0.25,0
"27","sbm",NA,NA,NA,0.3,NA,NA,5000,27,-1.5,0.25,0
"28","forest-fire",NA,NA,NA,NA,0.32,0.33,500,28,-1.5,0.25,0
"29","forest-fire",NA,NA,NA,NA,0.37,0.33,1000,29,-1.5,0.25,0
"30","forest-fire",NA,NA,NA,NA,0.37,0.35,5000,30,-1.5,0.25,0
"31","small-world",5,0.03,NA,NA,NA,NA,500,1,-1.5,0.5,0
"32","small-world",5,0.05,NA,NA,NA,NA,500,2,-1.5,0.5,0
"33","small-world",5,0.1,NA,NA,NA,NA,500,3,-1.5,0.5,0
"34","small-world",5,0.03,NA,NA,NA,NA,1000,4,-1.5,0.5,0
"35","small-world",5,0.05,NA,NA,NA,NA,1000,5,-1.5,0.5,0
"36","small-world",5,0.1,NA,NA,NA,NA,1000,6,-1.5,0.5,0
"37","small-world",5,0.03,NA,NA,NA,NA,5000,7,-1.5,0.5,0
"38","small-world",5,0.05,NA,NA,NA,NA,5000,8,-1.5,0.5,0
"39","small-world",5,0.1,NA,NA,NA,NA,5000,9,-1.5,0.5,0
"40","barabasi-albert",NA,NA,0.1,NA,NA,NA,500,10,-1.5,0.5,0
"41","barabasi-albert",NA,NA,0.3,NA,NA,NA,500,11,-1.5,0.5,0
"42","barabasi-albert",NA,NA,0.5,NA,NA,NA,500,12,-1.5,0.5,0
"43","barabasi-albert",NA,NA,0.1,NA,NA,NA,1000,13,-1.5,0.5,0
"44","barabasi-albert",NA,NA,0.3,NA,NA,NA,1000,14,-1.5,0.5,0
"45","barabasi-albert",NA,NA,0.5,NA,NA,NA,1000,15,-1.5,0.5,0
"46","barabasi-albert",NA,NA,0.1,NA,NA,NA,5000,16,-1.5,0.5,0
"47","barabasi-albert",NA,NA,0.3,NA,NA,NA,5000,17,-1.5,0.5,0
"48","barabasi-albert",NA,NA,0.5,NA,NA,NA,5000,18,-1.5,0.5,0
"49","sbm",NA,NA,NA,0.1,NA,NA,500,19,-1.5,0.5,0
"50","sbm",NA,NA,NA,0.2,NA,NA,500,20,-1.5,0.5,0
"51","sbm",NA,NA,NA,0.3,NA,NA,500,21,-1.5,0.5,0
"52","sbm",NA,NA,NA,0.1,NA,NA,1000,22,-1.5,0.5,0
"53","sbm",NA,NA,NA,0.2,NA,NA,1000,23,-1.5,0.5,0
"54","sbm",NA,NA,NA,0.3,NA,NA,1000,24,-1.5,0.5,0
"55","sbm",NA,NA,NA,0.1,NA,NA,5000,25,-1.5,0.5,0
"56","sbm",NA,NA,NA,0.2,NA,NA,5000,26,-1.5,0.5,0
"57","sbm",NA,NA,NA,0.3,NA,NA,5000,27,-1.5,0.5,0
"58","forest-fire",NA,NA,NA,NA,0.32,0.33,500,28,-1.5,0.5,0
"59","forest-fire",NA,NA,NA,NA,0.37,0.33,1000,29,-1.5,0.5,0
"60","forest-fire",NA,NA,NA,NA,0.37,0.35,5000,30,-1.5,0.5,0
"61","small-world",5,0.03,NA,NA,NA,NA,500,1,-1.5,0.75,0
"62","small-world",5,0.05,NA,NA,NA,NA,500,2,-1.5,0.75,0
"63","small-world",5,0.1,NA,NA,NA,NA,500,3,-1.5,0.75,0
"64","small-world",5,0.03,NA,NA,NA,NA,1000,4,-1.5,0.75,0
"65","small-world",5,0.05,NA,NA,NA,NA,1000,5,-1.5,0.75,0
"66","small-world",5,0.1,NA,NA,NA,NA,1000,6,-1.5,0.75,0
"67","small-world",5,0.03,NA,NA,NA,NA,5000,7,-1.5,0.75,0
"68","small-world",5,0.05,NA,NA,NA,NA,5000,8,-1.5,0.75,0
"69","small-world",5,0.1,NA,NA,NA,NA,5000,9,-1.5,0.75,0
"70","barabasi-albert",NA,NA,0.1,NA,NA,NA,500,10,-1.5,0.75,0
"71","barabasi-albert",NA,NA,0.3,NA,NA,NA,500,11,-1.5,0.75,0
"72","barabasi-albert",NA,NA,0.5,NA,NA,NA,500,12,-1.5,0.75,0
"73","barabasi-albert",NA,NA,0.1,NA,NA,NA,1000,13,-1.5,0.75,0
"74","barabasi-albert",NA,NA,0.3,NA,NA,NA,1000,14,-1.5,0.75,0
"75","barabasi-albert",NA,NA,0.5,NA,NA,NA,1000,15,-1.5,0.75,0
"76","barabasi-albert",NA,NA,0.1,NA,NA,NA,5000,16,-1.5,0.75,0
"77","barabasi-albert",NA,NA,0.3,NA,NA,NA,5000,17,-1.5,0.75,0
"78","barabasi-albert",NA,NA,0.5,NA,NA,NA,5000,18,-1.5,0.75,0
"79","sbm",NA,NA,NA,0.1,NA,NA,500,19,-1.5,0.75,0
"80","sbm",NA,NA,NA,0.2,NA,NA,500,20,-1.5,0.75,0
"81","sbm",NA,NA,NA,0.3,NA,NA,500,21,-1.5,0.75,0
"82","sbm",NA,NA,NA,0.1,NA,NA,1000,22,-1.5,0.75,0
"83","sbm",NA,NA,NA,0.2,NA,NA,1000,23,-1.5,0.75,0
"84","sbm",NA,NA,NA,0.3,NA,NA,1000,24,-1.5,0.75,0
"85","sbm",NA,NA,NA,0.1,NA,NA,5000,25,-1.5,0.75,0
"86","sbm",NA,NA,NA,0.2,NA,NA,5000,26,-1.5,0.75,0
"87","sbm",NA,NA,NA,0.3,NA,NA,5000,27,-1.5,0.75,0
"88","forest-fire",NA,NA,NA,NA,0.32,0.33,500,28,-1.5,0.75,0
"89","forest-fire",NA,NA,NA,NA,0.37,0.33,1000,29,-1.5,0.75,0
"90","forest-fire",NA,NA,NA,NA,0.37,0.35,5000,30,-1.5,0.75,0
"91","small-world",5,0.03,NA,NA,NA,NA,500,1,-1.5,1,0
"92","small-world",5,0.05,NA,NA,NA,NA,500,2,-1.5,1,0
"93","small-world",5,0.1,NA,NA,NA,NA,500,3,-1.5,1,0
"94","small-world",5,0.03,NA,NA,NA,NA,1000,4,-1.5,1,0
"95","small-world",5,0.05,NA,NA,NA,NA,1000,5,-1.5,1,0
"96","small-world",5,0.1,NA,NA,NA,NA,1000,6,-1.5,1,0
